parsed,fishbase
Antennarius commerson,Antennarius commerson
Antennarius hispidus,Antennarius hispidus
Antennarius multiocellatus,Antennarius multiocellatus
Antennarius nummifer,Antennatus nummifer
Antennarius ocellatus,Fowlerichthys ocellatus
Antennarius radiosus,Fowlerichthys radiosus
Antennarius,NA
Antennarius,NA
Antennarius striatus,Antennarius striatus
Anthias,NA
Anthias anthias,Anthias anthias
Anthias asperilinguis,Anthias asperilinguis
Anthias menezesi,Anthias menezesi
Anthias nicholsi,Anthias nicholsi
Anthias,NA
Anthias taeniatus,Pseudanthias taeniatus
Antigonia,NA
Antigonia capros,Antigonia capros
Antigonia combatia,Antigonia combatia
Antigonia malayana,Antigonia malayana
Antigonia rubescens,Antigonia rubescens
Antigonia,NA
Antimora microlepis,Antimora microlepis
Antimora rostrata,Antimora rostrata
Antipodocottus elegans,Antipodocottus elegans
Antipodocottus megalops,Antipodocottus megalops
Antonogadus macrophthalmus,Gaidropsarus macrophthalmus
Anyperodon leucogrammicus,Anyperodon leucogrammicus
Apeltes quadracus,Apeltes quadracus
Aphanophus carbo,NA
Aphareus furca,Aphareus furca
Aphia minuta,Aphia minuta
Aphredoderus sayanus,Aphredoderus sayanus
Aphyocharax anisitsi,Aphyocharax anisitsi
Aphyocharax dentatus,Aphyocharax dentatus
Aphyocharax,NA
Aphyonus gelatinosus,Aphyonus gelatinosus
Aphyonus,NA
Apistops caloundra,Apistops caloundra
Apistus carinatus,Apistus carinatus
Apletodon dentatus,Apletodon dentatus
Aploactis aspera,Aploactis aspera
Aploactisoma milesii,Aploactisoma milesii
Aplodactylus arctidens,Aplodactylus arctidens
Aplodactylus lophodon,Aplodactylus lophodon
Aplodactylus punctatus,Aplodactylus punctatus
Aplodactylus westralis,Aplodactylus westralis
Aplodinotus grunniens,Aplodinotus grunniens
Apodichthys flavidus,Apodichthys flavidus
Apogon,NA
Apogon affinis,Paroncheilus affinis
Apogon albimaculosus,Foa albimaculosa
Apogon apogonides,Ostorhinchus apogonoides
Apogon aureus,Ostorhinchus aureus
Apogon aurolineatus,Apogon aurolineatus
Apogon bandanensis,Nectamia bandanensis
Apogon binotatus,Apogon binotatus
Apogon brevicaudata,Apogonichthyoides brevicaudatus
Apogon brevicaudatus,Apogonichthyoides brevicaudatus
Apogon capricornis,Ostorhinchus capricornis
Apogon carinatus,Jaydia carinatus
Apogon cavitiensis,Ostorhinchus cavitensis
Apogon chrysopomus,Ostorhinchus chrysopomus
Apogon coccineus,Apogon coccineus
Apogon compressus,Ostorhinchus compressus
Apogon cookii,Ostorhinchus cookii
Apogon crassiceps,Apogon crassiceps
Apogon cyanosoma,Ostorhinchus cyanosoma
Apogon doederleini,Ostorhinchus doederleini
Apogon ellioti,Jaydia ellioti
Apogon exostigma,Pristiapogon exostigma
Apogon fasciatus,Ostorhinchus fasciatus
Apogon fleurieu,Ostorhinchus fleurieu
Apogon fraenatus,Pristiapogon fraenatus
Apogon fragilis,Zoramia fragilis
Apogon fuscomaculatus,Jaydia argyrogaster
Apogonichthyoides niger,Apogonichthyoides niger
Apogonichthyoides nigripinnis,Apogonichthyoides nigripinnis
Apogonichthys,NA
Apogonidae,NA
Apogon imberbis,Apogon imberbis
Apogon jenkinsi,Ostorhinchus jenkinsi
Apogon kiensis,Ostorhinchus kiensis
Apogon lachneri,Apogon lachneri
Apogon limenus,Ostorhinchus limenus
Apogon lineatus,Jaydia lineata
Apogon maculatus,Apogon maculatus
Apogon melanopus,Jaydia melanopus
Apogon melanorhynchus,NA
Apogon multilineatus,Ostorhinchus multilineatus
Apogon nigripinnis,Apogonichthyoides nigripinnis
Apogon nigrofasciatus,Ostorhinchus nigrofasciatus
Apogon notatus,Ostorhinchus notatus
Apogon novemfasciatus,Ostorhinchus novemfasciatus
Apogon ocellicaudus,Ostorhinchus ocellicaudus
Apogonops anomalus,Apogonops anomalus
Apogon parvulus,Ostorhinchus parvulus
Apogon pharonis,NA
Apogon poecilopterus,Jaydia poeciloptera
Apogon proeruptus,NA
Apogon properupta,Ostorhinchus properuptus
Apogon properuptus,Ostorhinchus properuptus
Apogon pselion,Ostorhinchus pselion
Apogon pseudomaculatus,Apogon pseudomaculatus
Apogon quadrifasciatus,Ostorhinchus fasciatus
Apogon quadrisquamatus,Apogon quadrisquamatus
Apogon queketti,Jaydia queketti
Apogon robustus,Ostorhinchus cookii
Apogon sealei,Ostorhinchus sealei
Apogon semilineatus,Ostorhinchus semilineatus
Apogon semiornatus,Apogon semiornatus
Apogon septemstriatus,Ostorhinchus septemstriatus
Apogon smithi,Jaydia smithi
Apogon,NA
Apogon,NA
Apogon,NA
Apogon,NA
Apogon,NA
Apogon,NA
Apogon,NA
Apogon striatus,Jaydia striata
Apogon timorensis,Apogonichthyoides timorensis
Apogon townsendi,Apogon townsendi
Apogon trimaculatus,Pristicon trimaculatus
Apogon truncatus,Jaydia truncata
Apogon unicolor,Apogon unicolor
Apogon victoriae,Ostorhinchus victoriae
Apolemichthys trimaculatus,Apolemichthys trimaculatus
Apolemichthys xanthotis,Apolemichthys xanthotis
Aprion virescens,Aprion virescens
Apristurus,NA
Apristurus brunneus,Apristurus brunneus
