parsed,lcvp
Androsace obtusifolia,Androsace obtusifolia All.
Androsace occidentalis,Androsace occidentalis Pursh
Anemone,
Anemone caroliniana,Anemone caroliniana Walter
Anemone knowltonia,Anemone knowltonia BurttDavy
Anemone nemorosa,Anemone nemorosa L.
Anemone richardsonii,Anemone richardsonii Hook.
Anemone speciosa,Anemone narcissiflora L.
Anethum graveolens,Anethum graveolens L.
Angelica sylvestris,Angelica sylvestris L.
Angelonia integerrima,Angelonia integerrima Spreng.
Angostura paniculata,Conchocarpus paniculatus (Engl.) Kallunki & Pirani
Aniba,
Aniba megaphylla,Aniba megaphylla Mez
Aniba ocotea,
Aniba parviflora,Aniba parviflora (Meisn.) Mez
Aniba puchury-minor,Aniba puchury-minor Mez
Anisophyllea corneri,Anisophyllea corneri DingHou
Anisoptera,
Anisoptera costata,Anisoptera costata Korth.
Anisoptera laevis,Anisoptera laevis Ridl.
Anisoptera megistocarpa,Anisoptera megistocarpa Slooten
Annesorhiza altiscapa,Annesorhiza altiscapa Schltr. ex H.Wolff
Annona acuminata,Annona acuminata Saff.
Annona cacans,Annona cacans Warm.
Annona crassiflora,Annona crassiflora Mart.
Annona glabra,Annona glabra L.
Annona hayesii,Annona hayesii Saff. ex Standl.
Annona neosalicifolia,Annona neosalicifolia H.Rainer
Annona rugulosa,Annona rugulosa (Schltdl.) H.Rainer
Annona spraguei,Annona spraguei Saff.
Annona sylvatica,Annona sylvatica A.St.-Hil.
Anogeissus latifolia,Terminalia anogeissiana (Roxb. ex DC.) Gere & Boatwr.
Anona cacans,
Anona rollinia,
Antennaria alpina,Antennaria alpina (L.) Gaertn.
Antennaria carpatica,Antennaria carpatica (Link) Bluff & Fingerh.
Antennaria dioica,Antennaria dioica (L.) Gaertn.
Antennaria friesiana,Antennaria friesiana (Trautv.) Ekman
Antennaria monocephala,Antennaria monocephala DC.
Antennaria neglecta,Antennaria neglecta Greene
Antennaria rosea,Antennaria rosea (D.C.Eaton) Greene
Anthemis cotula,Anthemis cotula L.
Anthemis cretica,Anthemis cretica L.
Anthocarapa nitidula,Anthocarapa nitidula (Benth.) T.D.Penn. ex Mabb.
Anthochortus capensis,Anthochortus capensis Esterhuizen
Anthochortus laxiflorus,Anthochortus laxiflorus (Nees) H.P.Linder
Anthospermum aethiopicum,Anthospermum aethiopicum L.
Anthospermum bergianum,Anthospermum bergianum Cruse
Anthospermum galioides,Anthospermum galioides Rchb. ex Spreng.
Anthoxanthum alpinum,Anthoxanthum odoratum L.
Anthoxanthum odoratum,Anthoxanthum odoratum L.
Anthriscus sylvestris,Anthriscus sylvestris (L.) Hoffm.
Anthyllis alpestris,Anthyllis alpestris (Schult.) Kit.
Anthyllis vulneraria,Anthyllis vulneraria L.
Antiaris toxicaria,Antiaris toxicaria Lesch.
Antidesma bunius,Antidesma bunius (L.) Spreng.
Antidesma coriaceum,Antidesma coriaceum Tul.
Antidesma cuspidata,
Antidesma diandrum,Antidesma acidum Retz.
Antidesma erostre,Antidesma erostre F.Muell.
Antidesma menasu,Antidesma montanum Blume
Antidesma pendulum,Antidesma pendulum Hook.f.
Antidesma velutinosum,Antidesma velutinosum Blume
Antirhea,
Antirhea tenuiflora,Antirhea tenuiflora F.Muell. ex Benth.
Apeiba,
Apeiba aspera,Apeiba glabra Aubl.
Apeiba membranacea,Apeiba membranacea Spruce ex Benth.
Apeiba tibourbou,Apeiba tibourbou Aubl.
Aphanamixis polystachya,Aphanamixis polystachya (Wall.) R.Parker
Aphanamixis sumatrana,Aphanamixis sumatrana (Miq.) Harms
Aphananthe philippinensis,Aphananthe philippinensis Planch.
Aphanostephus ramosissimus,Aphanostephus ramosissimus DC.
Aphelandra sinclairiana,Aphelandra sinclairiana Nees ex Benth.
Apium decumbens,Apium decumbens Eckl. & Zeyh.
Apocynaceae,
Apocynum cannabinum,Apocynum cannabinum L.
Apodytes brachystylis,Apodytes brachystylis F.Muell.
Aporusa aurea,
Aporusa bracteosa,
Aporusa confusa,
Aporusa falcifera,
Aporusa globifera,
Aporusa lunata,
Aporusa microstachya,
Aporusa miqueliana,
Aporusa nervosa,
Aporusa nigricans,
Aporusa nigropunctata,
Aporusa prainiana,
Aporusa symplocoides,
Appunia seibertii,
Apuleia leiocarpa,Apuleia leiocarpa (Vogel) J.F.Macbr.
Aquilaria malaccensis,Aquilaria malaccensis Lam.
Arabidopsis thaliana,Arabidopsis thaliana (L.) Heynh.
Arabis alpina,Arabis alpina L.
Arabis caerulea,Arabis caerulea All.
Arabis fendleri,Boechera fendleri (S.Watson) W.A.Weber
Arabis glabra,Turritis glabra L.
Arabis holboellii,Boechera holboellii (Hornem.) Á.Löve & D.Löve
Arabis subcoriacea,Arabis soyeri Reut. & A.Huet
Aralia spinos,Aralia spinosa L.
Aralia warmingiana,Aralia warmingiana (Marchal) J.Wen
Aralidium pinnatifidum,Aralidium pinnatifidum (Jungh. & DeVriese) Miq.
Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze
Arbutus menziesii,Arbutus menziesii Pursh
Archidendron bubalinum,Archidendron bubalinum (Jack) I.C.Nielsen
Archidendron clypearia,Archidendron clypearia (Jack) I.C.Nielsen
Archidendron contortum,Archidendron contortum (C.Mart.) I.C.Nielsen
Archidendron globosum,Archidendron globosum (Blume) I.C.Nielsen
Archidendron grandiflorum,Archidendron grandiflorum (Benth.) I.C.Nielsen
Archidendron microcarpum,Archidendron microcarpum (Benth.) I.C.Nielsen
Archidendron vaillantii,Archidendron vaillantii (F.Muell.) F.Muell.
Archontophoenix cunninghamii,
Arctagrostis latifolia,Arctagrostis latifolia (R.Br.) Griseb.
Arctium lappa,Arctium lappa L.
Arctostaphylos,
Arctostaphylos alpina,Arctostaphylos alpinus (L.) Spreng.
Arctostaphylos rubra,Arctostaphylos rubra (Rehder & E.H.Wilson) Fernald
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi (L.) Spreng.
Arctotis acaulis,Arctotis acaulis L.
Arctotis aspera,Arctotis aspera L.
Arctotis stoechadifolia,Arctotis stoechadifolia P.J.Bergius
Ardisia,
Ardisia bartlettii,Ardisia bartlettii Lundell
Ardisia colorata,Ardisia paniculata Roxb.
Ardisia crassa,Ardisia crassa C.B.Clarke
Ardisia fendleri,Ardisia fendleri Lundell
