parsed,ebird
Cinclus mexicanus,Cinclus mexicanus
Cinclus pallasii,Cinclus pallasii
Circus aeruginosus,Circus aeruginosus
Circus cyaneus,Circus cyaneus
Circus melanoleucus,NA
Circus pygargus,Circus pygargus
Cisticola juncidis,Cisticola juncidis
Cistothorus palustris,Cistothorus palustris
Cistothorus platensis,Cistothorus platensis
Clangula hyemalis,Clangula hyemalis
Coccothraustes coccothraustes,Coccothraustes coccothraustes
Coccothraustes vespertinus,Coccothraustes vespertinus
Coccyzus americanus,Coccyzus americanus
Coccyzus erythropthalmus,Coccyzus erythropthalmus
Coccyzus vieilloti,Coccyzus vieilloti
Coereba flaveola,Coereba flaveola
Colaptes auratus,Colaptes auratus
Colaptes auratus auratus,NA
Colaptes chrysoides,Colaptes chrysoides
Colinus virginianus,Colinus virginianus
Colluricincla harmonica,Colluricincla harmonica
Columba fasciata,NA
Columba janthina,Columba janthina
Columba livia,Columba livia
Columba oenas,Columba oenas
Columba palumbus,Columba palumbus
Columbidae,NA
Columbina inca,Columbina inca
Columbina passerina,Columbina passerina
Contopus borealis,NA
Contopus cooperi,Contopus cooperi
Contopus latirostris,Contopus latirostris
Contopus pertinax,Contopus pertinax
Contopus sordidulus,Contopus sordidulus
Contopus spec,NA
Contopus virens,Contopus virens
Coragyps atratus,Coragyps atratus
Corvidae,NA
Corvidae,NA
Corvus brachyrhynchos,Corvus brachyrhynchos
Corvus caurinus,Corvus caurinus
Corvus corax,Corvus corax
Corvus cornix,Corvus cornix
Corvus corone,Corvus corone
Corvus cryptoleucus,Corvus cryptoleucus
Corvus dauuricus,Corvus dauuricus
Corvus frugilegus,Corvus frugilegus
Corvus macrorhynchos,Corvus macrorhynchos
Corvus monedula,Corvus monedula
Corvus ossifragus,Corvus ossifragus
Corvus,NA
Corvus spec,NA
Coturnix coturnix,Coturnix coturnix
Crex crex,Crex crex
Crotophaga ani,Crotophaga ani
Crotophaga sulcirostris,Crotophaga sulcirostris
Cuculidae,NA
Cuculus canorus,Cuculus canorus
Cuculus micropterus,Cuculus micropterus
Cuculus optatus,Cuculus optatus
Cuculus poliocephalus,Cuculus poliocephalus
Cuculus saturatus,Cuculus saturatus
Cyanistes caeruleus,Cyanistes caeruleus
Cyanistes cyanus,Cyanistes cyanus
Cyanocitta cristata,Cyanocitta cristata
Cyanocitta stelleri,Cyanocitta stelleri
Cyanocorax yncas,Cyanocorax yncas
Cyanopica cyanus,Cyanopica cyanus
Cyanoptila cyanomelana,Cyanoptila cyanomelana
Cygnus,NA
Cygnus buccinator,Cygnus buccinator
Cygnus columbianus,Cygnus columbianus
Cygnus cygnus,Cygnus cygnus
Cygnus olor,Cygnus olor
Cygnus,NA
Cynanthus latirostris,Cynanthus latirostris
Cypseloides niger,Cypseloides niger
Cyrtonyx montezumae,Cyrtonyx montezumae
Daption capense,Daption capense
Delichon dasypus,Delichon dasypus
Dendragapus canadensis,NA
Dendragapus obscurus,Dendragapus obscurus
Dendrocopos kizuki,NA
Dendrocopos leucotos,Dendrocopos leucotos
Dendrocopos major,Dendrocopos major
Dendrocopos medius,NA
Dendrocopos minor,NA
Dendrocopos,NA
Dendroica caerulescens,NA
Dendroica castanea,NA
Dendroica cerulea,NA
Dendroica coronata,NA
Dendroica discolor,NA
Dendroica dominica,NA
Dendroica fusca,NA
Dendroica graciae,NA
Dendroica magnolia,NA
Dendroica nigrescens,NA
Dendroica occidentalis,NA
Dendroica palmarum,NA
Dendroica pensylvanica,NA
Dendroica petechia,NA
Dendroica pinus,NA
Dendroica stirata,NA
Dendroica striata,NA
Dendroica tigrina,NA
Dendroica townsendi,NA
Dendroica virens,NA
Diomedea,NA
Diomedea albatrus,NA
Diomedea amsterdamens,NA
Diomedea epomophora,Diomedea epomophora
Diomedea exulans,Diomedea exulans
Diomedea immutabilis,NA
Diomedea nigripes,NA
Diomedea royal,NA
Diomedea sanfordi,NA
Diomedeidae,NA
Dolichonyx oryzivorus,Dolichonyx oryzivorus
Dryocopus martius,Dryocopus martius
Dryocopus pileatus,Dryocopus pileatus
Dumetella carolinensis,Dumetella carolinensis
Egretta garzetta,Egretta garzetta
Egretta intermedia,NA
Egretta sacra,Egretta sacra
Egretta thula,Egretta thula
Elanoides forficatus,Elanoides forficatus
Elanus leucurus,Elanus leucurus
Emberiza aureola,Emberiza aureola
Emberiza cioides,Emberiza cioides
Emberiza citrinella,Emberiza citrinella
Emberiza elegans,Emberiza elegans
Emberiza fucata,Emberiza fucata
Emberiza hortulana,Emberiza hortulana
Emberiza leucocephala,NA
Emberiza rustica,Emberiza rustica
Emberiza schoeniclus,Emberiza schoeniclus
Emberiza,NA
Emberiza spodocephala,Emberiza spodocephala
Emberiza sulphurata,Emberiza sulphurata
Emberiza variabilis,Emberiza variabilis
Emberiza yessoensis,Emberiza yessoensis
Emberizidae,NA
Empidonax alnorum,Empidonax alnorum
Empidonax difficilis,Empidonax difficilis
Empidonax flaviventris,Empidonax flaviventris
Empidonax hammondii,Empidonax hammondii
Empidonax minimus,Empidonax minimus
Empidonax oberholseri,Empidonax oberholseri
Empidonax occidentalis,Empidonax occidentalis
Empidonax species,NA
Empidonax traillii,Empidonax traillii
Empidonax unidentified,NA
Empidonax virescens,Empidonax virescens
Empidonax wrightii,Empidonax wrightii
Eophona migratoria,Eophona migratoria
Eophona personata,Eophona personata
Eremophila alpestris,Eremophila alpestris
Erithacus rubecula,Erithacus rubecula
Eudyptes chrysocome,Eudyptes chrysocome
Eudyptes glaucoides,NA
Eudyptula cornutus,NA
Euphagus carolinus,Euphagus carolinus
Euphagus cyanocephalus,Euphagus cyanocephalus
Euphonia elegantissima,Euphonia elegantissima
Eurynorhynchus pygmeus,NA
Falcipennis canadensis,Falcipennis canadensis
Falco amurensis,Falco amurensis
Falco cherrug,Falco cherrug
Falco columbarius,Falco columbarius
Falco mexicanus,Falco mexicanus
Falco naumanni,Falco naumanni
Falcon unidentified,NA
Falco peregrinus,Falco peregrinus
Falco rusticolus,Falco rusticolus
Falco sparverius,Falco sparverius
Falco subbuteo,Falco subbuteo
Falco tinnunculus,Falco tinnunculus
Falco vespertinus,Falco vespertinus
Ficedula albicilla,Ficedula albicilla
Ficedula albicollis,Ficedula albicollis
Ficedula hypoleuca,Ficedula hypoleuca
Ficedula mugimaki,Ficedula mugimaki
Ficedula narcissina,Ficedula narcissina
Ficedula parva,Ficedula parva
Fratercula,NA
Fratercula arctica,Fratercula arctica
Fratercula cirrhata,Fratercula cirrhata
Fratercula corniculata,Fratercula corniculata
Fregata,NA
Fregata magnificens,Fregata magnificens
Fregata minor,Fregata minor
Fregetta grallaria,Fregetta grallaria
Fregetta tropica,Fregetta tropica
Fringilla coelebs,Fringilla coelebs
Fringilla montifringilla,Fringilla montifringilla
Fringillidae,NA
Fulica americana,Fulica americana
Fulica atra,Fulica atra
Fulmarus,NA
Fulmarus glacialis,Fulmarus glacialis
Fulmarus glacialoides,Fulmarus glacialoides
Gallinago delicata,Gallinago delicata
Gallinago gallinago,Gallinago gallinago
Gallinago hardwickii,Gallinago hardwickii
Gallinago media,Gallinago media
Gallinago megala,Gallinago megala
